id,price,brand,name,ratingAverage,ratingCount,reviewCount,minPurchaseCount,recommendationRate,complaintRate,ratings
7599894,6052.64,Siguro,Siguro BF-J140Y Arctic,4.6,27,13,200,0.85,0.0,"[1, 0, 3, 2, 21]"
6153388,11539.45,BEKO,BEKO BCNA306E3SN,4.7,3,0,200,1.0,0.0149,"[0, 0, 0, 1, 2]"
6776815,18990.00,LG,LG GBP62PZNBC,4.8,38,21,500,0.95,0.0039,"[0, 1, 1, 4, 32]"
7665816,35927.20,HISENSE,HISENSE RQ760N4AFE,5.0,1,0,10,1.0,0.0,"[0, 0, 0, 0, 1]"
7599893,6096.49,Siguro,Siguro BF-J140S Arctic,4.6,27,13,200,0.85,0.002,"[1, 0, 3, 2, 21]"
7600117,5940.46,Siguro,SIGURO BF-J140W Arctic,4.6,27,13,200,0.85,0.0023,"[1, 0, 3, 2, 21]"
7575602,5079.41,Siguro,SIGURO TF-J140W Fresh,4.6,38,12,500,0.95,0.0012,"[1, 0, 1, 9, 27]"
7591213,10514.49,Siguro,SIGURO BF-O120W Ideal,4.9,14,6,100,1.0,0.0,"[0, 0, 0, 1, 13]"
7575601,5154.40,Siguro,SIGURO TF-J140S Fresh,4.6,38,12,500,0.95,0.0013,"[1, 0, 1, 9, 27]"
7709071,18790.00,LG,LG GBP62SWNBC,4.9,10,7,200,1.0,0.0041,"[0, 0, 0, 1, 9]"
5854413,7289.00,BEKO,BEKO CSA270K30XPN,4.4,15,4,1000,0.87,0.0117,"[0, 2, 0, 3, 10]"
7761173,17090.00,Samsung,SAMSUNG RB38C705CSR/EF ,4.8,4,2,50,1.0,0.0,"[0, 0, 0, 1, 3]"
5583501,44990.00,LG,LG GMX844MCKV,5.0,18,12,500,1.0,0.0031,"[0, 0, 0, 1, 17]"
7650380,8690.00,HOOVER,HOOVER HOCT3L517EB2,4.3,5,4,200,0.8,0.0,"[1, 0, 0, 0, 4]"
6418983,18999.00,WHIRLPOOL,WHIRLPOOL WHC18 T573,4.1,12,9,200,0.75,0.009,"[1, 0, 2, 3, 6]"
7734411,7499.00,CANDY,CANDY CCG1S 518EX,4.7,7,0,200,1.0,0.0,"[0, 0, 0, 2, 5]"
5884989,6789.00,BEKO,BEKO RCSA 240M30WN,4.7,8,1,500,0.88,0.0017,"[0, 0, 1, 1, 6]"
6928068,24990.00,GORENJE,GORENJE NRM918FUX,5.0,5,3,100,1.0,0.0152,"[0, 0, 0, 0, 5]"
6162157,4019.00,BEKO,BEKO TSE1423N,4.8,4,1,500,1.0,0.0019,"[0, 0, 0, 1, 3]"
6162158,7155.86,BEKO,BEKO RCSA300K30SN,4.7,55,16,1000,0.93,0.0071,"[0, 0, 4, 9, 42]"
6438323,6799.00,ETA,ETA 254390000F,5.0,1,0,50,1.0,0.0125,"[0, 0, 0, 0, 1]"
5853427,5069.91,GORENJE,GORENJE RB493PW,4.5,37,19,2000,0.95,0.0058,"[1, 1, 0, 11, 24]"
7761171,23990.00,Samsung,SAMSUNG RB38C776CS9/EF ,5.0,3,2,100,1.0,0.0088,"[0, 0, 0, 0, 3]"
6928140,18931.64,GORENJE,GORENJE ONRK619DC-L,5.0,4,3,100,1.0,0.012,"[0, 0, 0, 0, 4]"
7850422,12990.00,LG,LG GBB62PZFGN,4.9,7,1,100,1.0,0.0,"[0, 0, 0, 1, 6]"
6366396,20990.00,Samsung,SAMSUNG RS66A8100SL/EF,4.6,11,2,500,0.91,0.0094,"[1, 0, 0, 1, 9]"
7899028,14990.00,LG,LG GBB62SWGCC1,4.0,1,1,50,1.0,0.0,"[0, 0, 0, 1, 0]"
7752627,22190.00,HISENSE,HISENSE RS677N4ACC,5.0,4,2,20,1.0,0.0,"[0, 0, 0, 0, 4]"
7761168,13490.00,Samsung,SAMSUNG RB34C670DSA/EF ,4.0,1,0,50,1.0,0.0,"[0, 0, 0, 1, 0]"
7761166,14590.00,Samsung,SAMSUNG RB34C600CSA/EF ,4.7,3,0,100,1.0,0.0,"[0, 0, 0, 1, 2]"
7761152,26490.00,Samsung,SAMSUNG Bespoke RB38C7B6AS9/EF ,4.8,12,4,100,1.0,0.0,"[0, 0, 0, 2, 10]"
5548853,5990.00,AMICA,AMICA VJ 1432 AW,5.0,2,2,200,1.0,0.0329,"[0, 0, 0, 0, 2]"
7850421,12990.00,LG,LG GBB62SWFGN,4.8,4,1,50,1.0,0.0,"[0, 0, 0, 1, 3]"
7243707,14307.27,LG,LG GBP62DSNCN1,5.0,30,14,500,1.0,0.0052,"[0, 0, 0, 1, 29]"
6410992,10990.00,GORENJE,GORENJE NRK6202EXL4,4.6,31,12,500,0.9,0.0013,"[2, 1, 0, 3, 25]"
7439738,10985.44,GORENJE,GORENJE R619EES5,4.6,11,8,200,0.82,0.0,"[0, 1, 1, 0, 9]"
6153389,12678.28,BEKO,BEKO BCNA275E4SN,3.0,2,2,200,0.5,0.0327,"[1, 0, 0, 0, 1]"
5875978,8054.99,BEKO,BEKO BCSA285K3SN,3.0,2,0,500,0.5,0.0036,"[1, 0, 0, 0, 1]"
6581524,5989.00,ETA,ETA 253790020E,4.3,8,4,200,0.75,0.016,"[1, 0, 1, 0, 6]"
5589707,22590.00,GORENJE,GORENJE NRS9182VB,4.7,14,11,500,0.93,0.0157,"[1, 0, 0, 1, 12]"
